genome_id,todC1_bedC1,todC2_bedC2,todB,todA,todD,tomA1,tomA2,tomA3,tomA4,tomA5,tmoA_tbuA1_touA,tmoB_tbuU_touB,tmoC_tbuB_touC,tmoD_tbuV_touD,tmoE_tbuA2,tmoF_tbuC_touF,catA,xylE,bssA,bssB,xylA,xylM,edoA1,edoA2,ndoB,ebdA,ebdB,ebdC,bcrA_type_II,bcrA_type_I,Citations,
Pseudomonas putida NCIB 9816-4 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,NA,NA,1,0,0,0,0,0,10.1016/0378-1119(93)90613-8,10.1128/jb.175.18.5877-5881.1993
Ectopseudomonas mendocina,0,0,0,0,0,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,10.1128/jb.173.9.3010-3016.1991,10.1128/JB.173.17.5315-5327.1991
Georgfuchsia_toluolica_G5G6,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,0,0,0,0,0,0,0,1,1,10.1111/j.1574-6941.2009.00778.x,10.1021/es500282t
Rhodococcus sp. DK17,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,0,0,0,0,NA,NA,0,0,0,0,0,0,10.1128/AEM.68.7.3270-3278.2002,10.1128/AEM.70.12.7086-7092.2004
Azoarcus sp. DN11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,0,0,NA,NA,NA,NA,NA,0,10.1021/es062842p,10.1128/MRA.01699-18
burkholderia vietnamiensis g4,0,0,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,10.1021/bi00043a012,10.1128/aem.63.4.1606-1609.1997
Aromatoleum aromaticum EbN1,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,1,10.1007/s00203-004-0742-9,10.1016/j.str.2006.07.001
azoarcus_sp._dd4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10.1128/AEM.01163-20,10.1128/MRA.00775-19
Bacillus_subtilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1038/36786,10.1074/jbc.M703759200
Escherichia_coli_str._K-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1126/science.277.5331.1453,10.1038/msb4100155
Staphylococcus_aureus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/S0140-6736(00)04403-2,10.1186/1471-2180-5-8
pseudomonas_putida_s12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,10.1016/j.jbiotec.2015.02.027,10.3389/fmicb.2022.1001472
pseudoxanthomonas_spadix_bd_a59,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,10.1128/AEM.02809-12,10.1128/JB.06436-11
Acinetobacter_baylyi_ADP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,10.1093/nar/gkh910,10.1099/mic.0.2008/016907-0
Bradyrhizobium_diazoefficiens_USDA110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,10.1093/dnares/9.6.189,10.1093/dnares/9.6.225
Clostridium_botulinum_A_ATCC 3502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,10.1101/gr.6282807,10.1371/journal.pone.0176944
Corynebacterium_glutamicum_ATCC_13032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,10.1016/S0168-1656(03)00154-8,10.3389/fmicb.2021.750206
